M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
3,3. E_max promedio por curva,test,RF,1.259165741005086,1.2317904016152952
3,3. E_max promedio por curva,test,GBT,1.1468971132394128,1.1226535657240027
3,3. E_max promedio por curva,test,PSBPM-FD,1.0234413490383996,1.0006615715208853
3,4. E_max peor de la ventana,train,FAR,1.1804959443735938,1.0
3,4. E_max peor de la ventana,train,RF,1.4749727927635299,1.2827435991642877
3,4. E_max peor de la ventana,train,GBT,1.184519106627483,1.059587294265028
3,4. E_max peor de la ventana,train,PSBPM-FD,1.2133026135875862,1.0388889759633149
3,4. E_max peor de la ventana,test,FAR,1.0333924073556224,1.0
3,4. E_max peor de la ventana,test,RF,1.2272227484530676,1.1935425235049495
3,4. E_max peor de la ventana,test,GBT,1.2655659888495179,1.2322049165027367
3,4. E_max peor de la ventana,test,PSBPM-FD,1.0430498997336195,1.0123275751761942
