t,bloque,banda,I_t_puntual,I_t_simultaneo
340,train,FAR (IC del modelo AR),1.0,1.0
341,train,FAR (IC del modelo AR),1.0,1.0
342,train,FAR (IC del modelo AR),1.0,1.0
343,train,FAR (IC del modelo AR),1.0,1.0
344,train,FAR (IC del modelo AR),1.0,1.0
345,train,FAR (IC del modelo AR),1.0,1.0
346,train,FAR (IC del modelo AR),1.0,1.0
347,train,FAR (IC del modelo AR),1.0,1.0
348,train,FAR (IC del modelo AR),1.0,1.0
349,train,FAR (IC del modelo AR),1.0,1.0
350,train,FAR (IC del modelo AR),1.0,1.0
351,train,FAR (IC del modelo AR),1.0,1.0
352,train,FAR (IC del modelo AR),1.0,1.0
353,train,FAR (IC del modelo AR),1.0,1.0
354,train,FAR (IC del modelo AR),1.0,1.0
355,train,FAR (IC del modelo AR),1.0,1.0
356,train,FAR (IC del modelo AR),1.0,1.0
357,train,FAR (IC del modelo AR),1.0,1.0
358,train,FAR (IC del modelo AR),1.0,1.0
359,train,FAR (IC del modelo AR),1.0,1.0
360,train,FAR (IC del modelo AR),1.0,1.0
361,train,FAR (IC del modelo AR),1.0,1.0
362,train,FAR (IC del modelo AR),1.0,1.0
363,train,FAR (IC del modelo AR),1.0,1.0
364,train,FAR (IC del modelo AR),1.0,1.0
365,train,FAR (IC del modelo AR),1.0,1.0
366,train,FAR (IC del modelo AR),1.0,1.0
367,train,FAR (IC del modelo AR),1.0,1.0
368,train,FAR (IC del modelo AR),1.0,1.0
369,train,FAR (IC del modelo AR),0.4489795918367347,0.0
370,train,FAR (IC del modelo AR),1.0,1.0
371,train,FAR (IC del modelo AR),1.0,1.0
372,train,FAR (IC del modelo AR),1.0,1.0
373,train,FAR (IC del modelo AR),1.0,1.0
374,train,FAR (IC del modelo AR),1.0,1.0
375,train,FAR (IC del modelo AR),1.0,1.0
376,train,FAR (IC del modelo AR),1.0,1.0
377,train,FAR (IC del modelo AR),1.0,1.0
378,train,FAR (IC del modelo AR),1.0,1.0
379,train,FAR (IC del modelo AR),1.0,1.0
380,train,FAR (IC del modelo AR),1.0,1.0
381,train,FAR (IC del modelo AR),1.0,1.0
382,train,FAR (IC del modelo AR),1.0,1.0
383,train,FAR (IC del modelo AR),1.0,1.0
384,train,FAR (IC del modelo AR),1.0,1.0
385,train,FAR (IC del modelo AR),1.0,1.0
386,train,FAR (IC del modelo AR),1.0,1.0
387,train,FAR (IC del modelo AR),1.0,1.0
388,train,FAR (IC del modelo AR),1.0,1.0
389,train,FAR (IC del modelo AR),1.0,1.0
390,train,FAR (IC del modelo AR),1.0,1.0
391,train,FAR (IC del modelo AR),1.0,1.0
392,train,FAR (IC del modelo AR),1.0,1.0
393,train,FAR (IC del modelo AR),1.0,1.0
394,train,FAR (IC del modelo AR),1.0,1.0
395,train,FAR (IC del modelo AR),1.0,1.0
396,train,FAR (IC del modelo AR),0.9795918367346939,0.0
397,train,FAR (IC del modelo AR),0.9795918367346939,0.0
398,train,FAR (IC del modelo AR),1.0,1.0
399,train,FAR (IC del modelo AR),1.0,1.0
