t,bloque,I_t_puntual,I_t_simultaneo
762,test,0.92,0.0
763,test,1.0,1.0
764,test,0.9733333333333334,0.0
765,test,1.0,1.0
766,test,0.8533333333333334,0.0
767,test,1.0,1.0
768,test,0.88,0.0
769,test,0.8666666666666667,0.0
770,test,1.0,1.0
771,test,0.84,0.0
772,test,0.8666666666666667,0.0
773,test,1.0,1.0
774,test,0.88,0.0
775,test,1.0,1.0
776,test,0.88,0.0
777,test,0.8133333333333334,0.0
778,test,0.9733333333333334,0.0
779,test,0.9466666666666667,0.0
780,test,0.8666666666666667,0.0
781,test,0.8266666666666667,0.0
782,test,0.8933333333333333,0.0
783,test,0.7333333333333333,0.0
784,test,0.7333333333333333,0.0
785,test,1.0,1.0
786,test,0.8133333333333334,0.0
787,test,0.7866666666666666,0.0
788,test,0.8533333333333334,0.0
789,test,0.96,0.0
790,test,0.9066666666666666,0.0
791,test,0.9066666666666666,0.0
792,test,0.9466666666666667,0.0
793,test,1.0,1.0
794,test,0.7866666666666666,0.0
795,test,1.0,1.0
796,test,0.76,0.0
797,test,0.9466666666666667,0.0
798,test,0.8533333333333334,0.0
799,test,0.9066666666666666,0.0
800,test,1.0,1.0
801,test,0.7733333333333333,0.0
802,test,1.0,1.0
803,test,1.0,1.0
804,test,0.9733333333333334,0.0
805,test,0.7466666666666667,0.0
806,test,1.0,1.0
807,test,1.0,1.0
808,test,0.9466666666666667,0.0
809,test,0.8266666666666667,0.0
810,test,0.9066666666666666,0.0
811,test,0.9466666666666667,0.0
812,test,0.9333333333333333,0.0
813,test,1.0,1.0
814,test,0.8666666666666667,0.0
815,test,1.0,1.0
816,test,1.0,1.0
817,test,0.96,0.0
818,test,1.0,1.0
819,test,0.8666666666666667,0.0
820,test,1.0,1.0
821,test,0.96,0.0
822,test,0.88,0.0
823,test,0.9866666666666667,0.0
824,test,0.8266666666666667,0.0
825,test,0.9066666666666666,0.0
826,test,1.0,1.0
827,test,0.9733333333333334,0.0
828,test,1.0,1.0
829,test,1.0,1.0
830,test,0.92,0.0
831,test,0.8,0.0
832,test,0.8266666666666667,0.0
833,test,1.0,1.0
834,test,0.9333333333333333,0.0
835,test,0.7866666666666666,0.0
836,test,0.9466666666666667,0.0
837,test,1.0,1.0
838,test,0.9733333333333334,0.0
839,test,0.6933333333333334,0.0
840,test,0.96,0.0
841,test,0.8666666666666667,0.0
842,test,1.0,1.0
843,test,0.8666666666666667,0.0
844,test,0.7733333333333333,0.0
845,test,1.0,1.0
846,test,0.9866666666666667,0.0
847,test,0.9466666666666667,0.0
848,test,0.8666666666666667,0.0
849,test,0.9733333333333334,0.0
850,test,0.5733333333333334,0.0
851,test,1.0,1.0
852,test,0.56,0.0
853,test,0.9866666666666667,0.0
854,test,1.0,1.0
855,test,1.0,1.0
856,test,0.8666666666666667,0.0
857,test,0.9466666666666667,0.0
858,test,1.0,1.0
859,test,0.8666666666666667,0.0
860,test,0.84,0.0
861,test,0.7333333333333333,0.0
862,test,0.88,0.0
863,test,0.8266666666666667,0.0
864,test,1.0,1.0
865,test,0.88,0.0
866,test,0.7466666666666667,0.0
867,test,0.88,0.0
868,test,0.9866666666666667,0.0
869,test,0.9466666666666667,0.0
870,test,0.8933333333333333,0.0
871,test,0.9733333333333334,0.0
872,test,0.76,0.0
873,test,0.8933333333333333,0.0
874,test,0.84,0.0
875,test,0.9866666666666667,0.0
876,test,0.8533333333333334,0.0
877,test,0.9066666666666666,0.0
878,test,1.0,1.0
