t,regimen,p_regimen_0,z_lag,ambiguedad,ambiguo,b_t,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
120,0,0.7520238527898555,-0.1702180759276987,0.2479761472101445,0,1.789473684210526,0.457325820359963,1.3421052631578947,1.7994310835178577,1.7994310835178577,0,2.2416579443343623,train
121,1,0.4421682340055209,0.03636855520868448,0.4421682340055209,1,1.8045112781954886,0.5002339009436954,1.3533834586466165,1.8536173595903118,1.8536173595903118,1,-0.2324457828498999,train
122,1,0.015843913322390126,0.5370816265524897,0.015843913322390102,0,1.8195488721804511,0.9201129753405445,1.3646616541353382,2.2847746294758826,2.2847746294758826,0,0.8991355824629697,train
123,1,0.6955478331845091,-0.12790951845432072,0.3044521668154909,1,1.8345864661654134,0.5111836701630427,1.37593984962406,1.8871235197871026,1.8871235197871026,1,0.03987614101760275,train
124,0,0.668562684876673,-0.10898694067350474,0.33143731512332697,1,1.8496240601503757,0.5607528895467931,1.3872180451127818,1.9479709346595748,1.9479709346595748,1,0.12624398517224486,train
125,1,0.2301843346132521,0.1845599796599996,0.2301843346132521,0,1.8646616541353382,2.232552607825244,1.3984962406015038,3.631048848426748,3.631048848426748,0,2.5378053588735807,train
126,0,0.9553359034011515,-0.4247380462422986,0.04466409659884851,0,1.8796992481203008,2.6029339135564937,1.4097744360902256,4.0127083496467195,4.0127083496467195,0,4.20176826408425,train
127,1,0.24357206367905243,0.17371456722024406,0.24357206367905243,0,1.894736842105263,2.9397211136693584,1.4210526315789473,4.360773745248306,4.360773745248306,0,-2.321262532818943,train
128,0,0.9794755503725496,-0.5107589375708945,0.02052444962745037,0,1.9097744360902253,3.510157225201391,1.432330827067669,4.942488052269059,4.942488052269059,0,0.6413068225005928,train
129,1,0.45503233111756003,0.028239244875820423,0.45503233111756003,1,1.9248120300751879,1.6232309802133098,1.443609022556391,3.066840002769701,3.066840002769701,1,0.9831631494863431,train
130,0,0.7323426777713161,-0.1549784102492404,0.2676573222286839,1,1.9398496240601504,0.6122249866507589,1.454887218045113,2.0671122046958716,2.0671122046958716,1,2.018767771847578,train
131,1,0.5498451501361907,-0.031317532170470064,0.45015484986380927,1,1.9548872180451127,0.17621354310355083,1.4661654135338344,1.6423789566373852,1.6423789566373852,1,-0.6930372429483298,train
