M,metrica,columna,banda,bloque,minimo,maximo,promedio
5,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.333154206554455,3.3894827306342235,2.6700702886851113
5,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),test,2.7285048074730534,3.6728077164798485,3.0645738766985082
5,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),train,2.6862490647040227,4.026994143960588,3.1541637786905183
5,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),test,34.57793338478459,49.06351198995976,39.89052955730071
5,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),train,34.57793338478459,74.74353718747233,42.56621902675822
5,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.83769678977747,47.776679693612,39.76178386512574
5,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.83769678977747,76.03553761848184,42.78992508472415
5,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),test,29.596910572052003,58.346135631785884,41.15336376229613
5,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),train,29.6606032371521,85.66903026613326,44.57906248048041
5,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),test,34.577933384784586,224.0160322012382,119.79601077830988
5,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),train,34.577933384784586,487.9142012941039,148.03027194143968
5,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,34.83769678977746,193.96700520463216,112.66492372128933
5,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,34.83769678977746,454.7582937428757,145.98510536011497
5,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),test,35.94804096221924,346.86421956769897,182.4044011664752
5,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),train,34.58443737030029,580.0613467754324,203.0568196714508
