t,regimen,p_regimen_0,z_lag,ambiguedad,ambiguo,b_t,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
242,0,0.8819410271830632,-0.2961864641716443,0.11805897281693678,0,1.762878688735079,1.533704715766298,1.3221590165513093,2.8558637323176073,2.8558637323176073,0,0.8222763810681583,train
243,1,0.55648671526513,-0.035516912830358724,0.44351328473486995,1,1.7849144188855752,1.1902742060698832,1.3386858141641813,2.5289600202340647,2.5289600202340647,1,-0.15768633199762297,train
244,0,0.7531929224917415,-0.17114295478887584,0.24680707750825848,0,1.8071330171207884,0.7376589362159683,1.3553497628405913,2.0930086990565595,2.0930086990565595,0,2.5329149808915363,train
245,0,0.7385653330378843,-0.15973216829578202,0.2614346669621157,1,1.8295352390939594,0.9334346830218695,1.3721514293204695,2.305586112342339,2.305586112342339,1,2.70008353871313,train
246,0,0.999796433240581,-0.883854023453742,0.00020356675941901603,0,1.8521218404583328,1.262279670452737,1.3890913803437497,2.6513710507964867,2.6513710507964867,0,2.396444392363188,train
247,0,0.9764277509695027,-0.4962499403128302,0.02357224903049726,0,1.874893576867149,0.7623336823314011,1.4061701826503619,2.168503864981763,2.168503864981763,0,1.9864586094013028,train
248,1,0.21470005577957174,0.19755465160107374,0.21470005577957174,0,1.8978512039736533,0.3124737137367583,1.42338840298024,1.7358621167169983,1.7358621167169983,0,1.3464913470139652,train
249,1,0.022153150799664765,0.5027953454488681,0.02215315079966479,0,1.9209954774310853,1.0819813390413726,1.440746608073314,2.522727947114687,2.522727947114687,0,-0.9406466843966214,train
250,1,0.33888678633728053,0.1038758001379416,0.33888678633728053,1,1.9443271528926904,1.7183768536436415,1.458245364669518,3.1766222183131596,3.1766222183131596,1,1.5892798387474711,train
251,0,0.7216676391980338,-0.14695067870268017,0.2783323608019662,1,1.967846986011709,1.454520096338197,1.4758852395087816,2.9304053358469786,2.9304053358469786,1,2.558936197861485,train
252,1,0.16670599223449284,0.24181604549157085,0.16670599223449284,0,1.9915557324413857,0.8051640524973631,1.4936667993310393,2.298830851828402,2.298830851828402,0,-0.9317883444407752,train
253,1,0.4785881751555648,0.01342431987813965,0.4785881751555648,1,2.0154541478349612,1.8051669760124205,1.511590610876221,3.3167575868886416,3.3167575868886416,1,0.14213972170199732,train
254,1,0.19164818126895133,0.2179596825298092,0.19164818126895133,0,2.03954298784568,0.4525733999244954,1.52965724088426,1.9822306408087553,1.9822306408087553,0,2.038678696222713,train
255,0,0.17116095966818134,0.2373968617552479,0.17116095966818134,0,2.0638230081267825,1.8798187354566218,1.547867256095087,3.4276859915517086,3.4276859915517086,0,4.163524821936748,train
256,1,0.11266260621905672,0.3031222750565708,0.11266260621905672,0,2.088294964331514,2.6251568813899957,1.5662212232486357,4.191378104638631,4.191378104638631,0,-1.0043266380883737,train
257,1,0.11760644427027855,0.2967593373585811,0.11760644427027855,0,2.112959612113115,1.997365305443565,1.5847197090848362,3.582085014528401,3.582085014528401,0,2.8770870680096166,train
