t,bloque,banda,I_t_puntual,I_t_simultaneo
266,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
267,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
268,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
269,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
270,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
271,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
272,train,PSBPM-FD (predictiva bayesiana),0.7333333333333333,0.0
273,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
274,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
275,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
276,train,PSBPM-FD (predictiva bayesiana),0.8133333333333334,0.0
277,train,PSBPM-FD (predictiva bayesiana),0.6933333333333334,0.0
278,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
279,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
280,train,PSBPM-FD (predictiva bayesiana),0.7466666666666667,0.0
281,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
282,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
283,train,PSBPM-FD (predictiva bayesiana),0.5466666666666666,0.0
284,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
285,train,PSBPM-FD (predictiva bayesiana),0.76,0.0
286,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
287,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
288,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
289,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
290,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
291,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
292,train,PSBPM-FD (predictiva bayesiana),0.8533333333333334,0.0
293,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
294,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
295,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
